대학명,계열,학점,토익,토스,오픽,자격증,수상경험,인턴,해외경험,봉사활동,기업명,부서
인하대학교,기계/자동차/조선공학,3.63 / 4.5,810,L6,없음,0개,0회,0회,0회,0회,LG이노텍㈜,HW(하드웨어)
인하대학교,기계/자동차/조선공학,3.79 / 4.5,없음,L6,없음,0개,0회,2회,0회,1회,현대제철㈜,연구·실험·기술
동아대학교,기계/자동차/조선공학,3.96 / 4.5,840,없음,IH,1개,0회,0회,1회,0회,에이치에스디엔진,기계·기구설계
한밭대학교,기계/자동차/조선공학,4.23 / 4.5,760,없음,IM,2개,0회,0회,0회,0회,SK하이닉스,생산관리
부산대학교(밀양),기계/자동차/조선공학,3.12 / 4.5,810,L6,없음,2개,1회,1회,1회,2회,LG전자㈜,기계·기구설계
아주대학교,기계/자동차/조선공학,3.57 / 4.5,780,L6,없음,1개,0회,1회,0회,0회,㈜LG화학,기계설비
성균관대학교(자연과학),기계/자동차/조선공학,4.07 / 4.5,815,L6,IM,0개,0회,1회,0회,1회,현대자동차㈜,연구·실험·기술
울산과학기술원,기계/자동차/조선공학,3.8 / 4.5,875,L6,없음,0개,0회,0회,0회,0회,현대자동차㈜,연구·실험·기술
아주대학교,기계/자동차/조선공학,3.25 / 4.5,735,L6,IM,0개,1회,2회,1회,2회,삼성전자㈜,기계설비
동아대학교,기계/자동차/조선공학,3.8 / 4.5,715,L5,없음,1개,0회,0회,0회,1회,한국가스공사,공정관리
인하대학교,기계/자동차/조선공학,3.76 / 4.5,840,L6,없음,0개,0회,0회,0회,0회,기아자동차㈜,연구·실험·기술
아주대학교,기계/자동차/조선공학,3.53 / 4.5,855,L6,없음,0개,0회,1회,1회,1회,현대트랜시스 주식회사,연구·실험·기술
아주대학교,기계/자동차/조선공학,3.53 / 4.5,855,L6,없음,0개,0회,1회,1회,1회,삼성전자㈜,기계설비
부경대학교,기계/자동차/조선공학,3.82 / 4.5,835,L7,없음,2개,0회,0회,1회,3회,삼성전자㈜,전기설비
인하대학교,기계/자동차/조선공학,3.76 / 4.5,820,L6,없음,0개,0회,1회,0회,0회,㈜포스코건설,플랜트
부산대학교(밀양),기계/자동차/조선공학,4.1 / 4.5,920,L6,IM,0개,0회,0회,0회,0회,LG디스플레이㈜,연구·실험·기술
서울과학기술대학교,기계/자동차/조선공학,3.83 / 4.5,없음,L7,없음,0개,0회,1회,1회,0회,삼성전자㈜,기계설비
부경대학교,기계/자동차/조선공학,3.77 / 4.5,845,L6,없음,0개,0회,0회,0회,0회,삼성전자㈜,생산관리
인하대학교,기계/자동차/조선공학,3.67 / 4.5,865,L5,없음,0개,0회,0회,0회,1회,현대자동차㈜,생산관리
강릉대학교,기계/자동차/조선공학,3.43 / 4.5,900,없음,IM,0개,0회,0회,0회,0회,한국공항공사,기술직
계명대학교,기계/자동차/조선공학,3.3 / 4.5,없음,없음,없음,0개,0회,0회,0회,0회,㈜LG하우시스,생산관리
홍익대학교(서울),기계/자동차/조선공학,3.55 / 4.5,없음,L6,없음,0개,0회,0회,1회,0회,현대자동차㈜,연구·실험·기술
경상대학교,기계/자동차/조선공학,3.72 / 4.5,없음,L5,없음,2개,1회,0회,1회,2회,삼성전자㈜,기계설비
충남대학교,기계/자동차/조선공학,3.8 / 4.5,없음,없음,IM,3개,3회,0회,0회,2회,한국타이어㈜,연구·실험·기술
영남대학교,기계/자동차/조선공학,3.74 / 4.5,840,없음,없음,2개,1회,0회,3회,1회,노벨리스코리아㈜,HRD·HRM
부산대학교(밀양),기계/자동차/조선공학,3.6 / 4.5,870,L6,없음,0개,0회,0회,0회,0회,LG전자㈜,기계·기구설계
국민대학교,기계/자동차/조선공학,3.82 / 4.5,830,L6,없음,1개,0회,1회,0회,0회,신세계건설㈜,플랜트
부산대학교(밀양),기계/자동차/조선공학,3.55 / 4.5,795,L6,없음,0개,1회,1회,0회,1회,삼성전자㈜,연구·실험·기술
홍익대학교(서울),기계/자동차/조선공학,3.16 / 4.5,765,없음,IL,0개,0회,0회,0회,0회,SK이노베이션㈜,생산관리
한국항공대학교,기계/자동차/조선공학,3.41 / 4.5,770,L6,없음,0개,1회,0회,0회,1회,삼성물산(주),기계
인하대학교,기계/자동차/조선공학,3.49 / 4.5,915,L6,없음,0개,0회,0회,0회,1회,LG전자㈜,연구·실험·기술
홍익대학교(서울),기계/자동차/조선공학,3.61 / 4.5,없음,L5,없음,0개,0회,0회,0회,0회,현대위아,QAA·통화품질
홍익대학교(서울),기계/자동차/조선공학,3.51 / 4.5,820,L6,없음,2개,0회,0회,0회,0회,(주)에스앤아이코퍼레이션,공정관리
홍익대학교(서울),기계/자동차/조선공학,3.51 / 4.5,820,L6,없음,2개,0회,0회,0회,0회,삼성전자㈜,기계설비
전북대학교,기계/자동차/조선공학,3.39 / 4.5,845,없음,IM,0개,0회,0회,0회,0회,현대위아,생산관리
충남대학교,기계/자동차/조선공학,3.76 / 4.5,875,없음,IH,1개,0회,1회,2회,1회,㈜포스코,생산관리
충남대학교,기계/자동차/조선공학,3.76 / 4.5,875,없음,IH,1개,0회,1회,2회,1회,기아자동차㈜,생산관리
